code,shares_outstanding
1375,39882822
1514,59823149
1605,1162189867
1711,10432663
1721,115534910
1723,63732812
1736,15494352
1764,1246284
1770,9184046
1787,2452013
1793,25434086
1799,17701427
1827,34363945
1853,32749698
1861,169917537
1878,324540501
1887,79746254
1888,12727355
1909,26814704
1934,68686811
1939,47334611
1945,33134863
1951,203626989
1952,45448458
1975,25875683
2001,82661080
2117,32738556
2121,65106446
2130,12818043
2134,547690992
2136,3805191
2154,84946782
2160,55753902
2179,5547898
2204,5714605
2215,6923391
2229,121587854
2267,288676028
2296,56750572
2321,51987302
2326,13413885
2329,137594963
2335,15177046
2338,49132796
2340,31721925
2345,18579916
2351,7801882
2388,42455078
2393,15540723
2411,11000000
2440,56374138
2452,447500
2461,65655829
2483,3356793
2488,5503568
2540,13862685
2613,33115266
2654,13464481
2667,15117362
2686,42568529
2721,10288480
2760,29449481
2762,40550249
2778,11852104
2780,10989227
2795,5172790
2815,31849499
2882,11357595
2884,23874486
2910,26140697
2911,1815570
2916,11383592
2922,12582453
2962,9193374
2971,360667
2981,5694830
2990,35648998
2993,4386968
2994,700000
2998,35682460
3003,759319729
3030,12577918
3034,37577566
3041,4100748
3042,7689552
3050,137016231
3075,12520787
3076,53273182
3079,10500956
3087,42022363
3113,93235520
3121,31384484
3123,12694679
3133,58355783
3134,16001001
3148,64602264
3156,28117729
3175,12757944
3178,19292905
3185,18366024
3199,18688015
3205,27393867
3222,207101189
3226,2517360
3237,46492384
3238,9614122
3271,28305924
3276,16702070
3280,6060003
3281,4797731
3300,7400907
3320,7432999
3360,92018934
3372,13698753
3375,1258433
3388,12601218
3391,453026961
3395,21437599
3399,19699696
3401,192915902
3433,59468698
3445,26596258
3451,376455
3454,14024290
3470,281494
3476,1907440
3480,21073022
3482,16872899
3538,9093264
3544,13780275
3548,36076130
3559,4703098
3569,58807741
3577,3156011
3583,2738372
3612,76200978
3632,171803378
3647,21197428
3652,3145123
3653,5163135
3661,68777472
3674,10521684
3680,15307285
3695,4403124
3753,14535675
3762,40185148
3769,75943073
3774,177330005
3793,28806817
3796,13802754
3835,43943738
3840,82680236
3850,4871583
3856,18950651
3945,1485149
4011,6106052
4015,15724377
4023,38218898
4064,9325433
4069,3339167
4093,34795930
4166,2732655
4188,1358547433
4199,2549556
4208,97145192
4231,19364846
4241,4420831
4246,65618479
4251,18495531
4262,6356617
4265,4765800
4290,124734777
4323,24718901
4365,2901140
4368,105796374
4381,2908470
4387,4749636
4395,7499884
4417,15006188
4429,4500134
4431,19260921
4446,14174032
4450,3131830
4488,3954063
4492,11565082
4493,10255387
4495,4890582
4548,54602792
4564,383643572
4568,1819653230
4583,72628571
4593,135001900
4599,62681079
4613,176046309
4615,34037096
4644,9639035
4664,3008699
4671,10001968
4676,142445818
4679,7437054
4686,64223780
4714,170301620
4720,8031441
4750,6412838
4752,4281147
4772,115894901
4829,38534900
4838,16242089
4840,8641402
4875,49221246
4884,8078017
4890,25794300
4901,1195604147
4923,29136935
4933,17785329
4936,22870400
4997,78325584
5018,9177180
5029,4377804
5033,6354421
5103,75847346
5122,17038693
5129,14814520
5134,3875378
5161,36255039
5185,14222368
5186,27433233
5237,11901906
5252,4150896
5255,64657422
5258,29675200
5341,7452188
5344,12339847
5408,54215451
5532,6485230
5537,8183600
5573,550000
5576,2325831
5616,2420450
5660,5909669
5713,268658689
5721,175143022
5729,9802992
5802,779919875
5821,15545574
5830,287099091
5856,108930400
5867,3129477
5884,12138058
5932,31339497
5973,5668565
5976,32444920
5987,1655593
6013,72836311
6023,25431475
6035,17763376
6039,12924460
6059,19405764
6062,32681388
6125,6610053
6134,87913069
6137,21110285
6145,16874482
6146,108467725
6182,10887570
6237,22183345
6246,11465055
6324,94666789
6346,1211068
6349,53062716
6365,4150409
6369,15585012
6379,54008244
6380,1520717
6384,6176851
6407,66835011
6473,318331829
6513,5168165
6522,8038720
6525,233732905
6532,149891264
6533,9341368
6544,178763918
6545,5345901
6617,15960200
6625,110567722
6629,13476998
6644,44103914
6699,10940724
6721,55268600
6724,320427751
6731,16112175
6740,4265637935
6744,58862925
6750,80538615
6770,195114611
6772,6760625
6778,8779530
6800,23310477
6824,12169001
6834,8939271
6837,14419713
6855,14647476
6863,7157637
6875,14708061
6890,46838318
6897,10665550
6904,21151932
6908,21350505
6919,7275338
6943,822664
6946,14788813
6960,27015884
6962,31803930
6971,1317405856
6976,125146903
6988,667819850
6993,739883647
7021,1964553
7034,10931594
7062,2608535
7087,6323427
7091,4484742
7119,11045941
7129,2802179
7131,1322224
7138,15604393
7161,26703442
7203,11841052480
7220,65540871
7224,66143345
7241,89090943
7247,33625278
7256,38692951
7259,724572804
7266,21241950
7278,36352668
7305,9533818
7345,3291160
7356,14955953
7367,21578940
7369,4703799
7370,6820318
7374,6249863
7399,6398480
7434,3922394
7435,7939614
7442,18919831
7462,4110990
7463,33580645
7475,8355309
7490,6676444
7545,59726817
7561,18491134
7575,70154478
7578,18451740
7593,116255169
7608,16777122
7621,5615497
7624,54761230
7674,2447072
7687,6614195
7691,31078600
7699,21057844
7709,13767789
7721,16432986
7731,329409077
7746,29091602
7771,23970255
7775,28728437
7777,120212511
7780,74196464
7815,2591879
7820,22756758
7822,44195382
7823,32581660
7832,641365963
7875,16723358
7886,1609357
7887,4845955
7902,3638348
7917,71550328
7927,6945986
7943,33203851
7953,12538336
7974,1152828705
8011,9967211
8025,4034580
8030,3994200
8050,81741802
8059,31880130
8086,163095782
8088,230176049
8105,64454391
8132,10818864
8136,1212453995
8141,28549899
8144,6282340
8154,47659032
8219,141947727
8283,60630924
8289,22970511
8306,11276872492
8349,9460262
8365,5335081
8370,64413270
8395,16901870
8508,132179647
8593,1435921854
8601,1385637648
8609,200189766
8699,30096049
8746,18183240
8750,3600951015
8789,192531047
8818,47702331
8850,47344176
8877,15429326
8887,37606254
8894,150934206
8946,23725000
8954,5520000
8966,1251533
8967,2746163
8972,4039198
8987,1290487
9003,95969073
9012,1485166
9037,74027882
9069,167418605
9074,3266071
9193,9953175
9206,3783633
9216,14183148
9222,1571000
9223,12437852
9238,2300606
9303,76056857
9308,25181468
9325,10751340
9327,15843000
9347,36320947
9353,1521755
9360,2844942
9369,24856503
9401,156834997
9409,100539334
9412,283439790
9413,26625971
9418,180374910
9424,166809235
9425,6814780
9506,500160281
9601,13743685
9627,35117921
9686,10545817
9713,15273009
9723,12065158
9760,16648474
9788,41827673
9828,17659526
9831,664440382
9876,27623834
9928,29943906
9936,52531261
9941,1933196
9962,264712473
